ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
2020-01-02,20758722,1886677519,91.0,91.5,90.3,90.8,0.0,9994
2020-01-03,37936877,3471335594,91.4,92.2,90.8,91.6,0.8,16491
2020-01-06,26352522,2388785688,91.1,91.1,90.1,90.5,-1.1,11872
2020-01-07,43978140,3935667984,90.5,91.0,88.3,89.1,-1.4,21340
2020-01-08,56101121,4891344755,87.9,88.1,86.5,86.5,-2.6,28087
2020-01-09,28513381,2491571248,87.3,87.7,87.0,87.1,0.6,13485
2020-01-10,32264863,2852056044,88.0,89.0,87.5,89.0,1.9,14951
2020-01-13,23369554,2084580613,89.7,89.7,88.6,89.6,0.6,9793
2020-01-14,19568838,1758920258,90.0,90.1,89.6,90.0,0.4,9250
2020-01-15,23798041,2141165898,90.0,90.3,89.5,89.9,-0.1,9104
2020-01-16,19281565,1734134777,89.8,90.2,89.4,90.0,0.1,6958
2020-01-17,78180511,7195625358,91.0,92.4,91.0,92.3,2.3,33753
2020-01-20,35277412,3266663404,92.7,93.4,92.1,92.3,0.0,14735
2020-01-30,153655274,12913538375,85.5,86.2,83.1,83.1,-9.2,63060
2020-01-31,69686948,5823335061,83.0,84.9,82.6,83.2,0.1,28528
2020-02-03,66666856,5331667770,79.5,82.3,77.3,82.2,-1.0,27283
2020-02-04,49697853,4125328043,82.8,83.9,81.5,82.2,0.0,18430
2020-02-05,49302064,4053426295,82.2,82.7,81.6,82.2,0.0,17553
2020-02-06,44278109,3674127347,82.5,83.6,82.3,83.6,1.4,16635
2020-02-07,26495116,2198259716,83.6,83.6,82.7,82.9,-0.7,12149
2020-02-10,42505477,3452575714,79.0,82.7,78.9,82.0,-0.9,18921
2020-02-11,28310130,2343130610,82.6,83.4,82.1,82.9,0.9,11338
2020-02-12,57339491,4848610083,83.0,85.6,83.0,85.5,2.6,22018
2020-02-13,36204520,3092757614,85.8,86.3,84.7,84.7,-0.8,15769
2020-02-14,21292704,1806237388,84.7,85.3,84.3,84.9,0.2,9353
2020-02-17,16771107,1408020326,84.2,84.2,83.8,83.9,-1.0,10096
2020-02-18,22611466,1887907282,84.0,84.3,83.0,83.4,-0.5,10033
2020-02-19,25476407,2132686918,83.0,84.6,82.5,83.8,0.4,12306
2020-02-20,35972272,2991260607,84.0,84.1,82.5,82.8,-1.0,13928
2020-02-21,29778377,2438828133,82.1,82.2,81.6,81.7,-1.1,14457
2020-02-24,32852370,2650828496,80.6,81.4,80.2,80.7,-1.0,15908
2020-02-25,47213818,3849837516,80.2,82.7,79.9,82.3,1.6,19636
2020-02-26,43075406,3504698711,81.2,82.2,80.7,81.1,-1.2,18692
2020-02-27,53384898,4297286977,80.8,81.5,80.0,80.3,-0.8,21538
2020-03-02,54992166,4355555537,78.2,80.3,78.1,79.2,-1.1,23725
2020-03-03,34822180,2828098980,81.1,82.0,80.6,81.0,1.8,16398
2020-03-04,29907913,2438150154,81.5,81.9,81.1,81.7,0.7,11887
2020-03-05,36950021,3067987721,83.3,83.6,82.6,82.7,1.0,16471
2020-03-06,38712605,3137596043,81.6,81.7,80.7,80.8,-1.9,17173
2020-03-09,45009955,3574569517,79.2,80.1,79.1,79.1,-1.7,23367
2020-03-10,39205665,3099346390,78.5,79.8,78.5,79.4,0.3,17013
2020-03-11,30546137,2418343099,79.3,80.1,78.6,78.6,-0.8,14050
2020-03-12,85760356,6495111843,77.4,77.5,74.5,74.7,-3.9,42675
2020-03-13,108780196,7771885443,70.0,75.0,69.9,74.6,-0.1,46824
2020-03-16,65223917,4720458460,73.9,74.3,71.1,71.1,-3.5,32325
2020-03-17,72635874,5158152404,70.1,72.8,70.0,70.6,-0.5,30114
2020-03-18,76268240,5378721353,70.7,71.3,70.0,70.0,-0.6,30314
2020-03-19,107256149,7251995017,68.7,69.3,65.7,66.3,-3.7,47548
2020-03-20,104299524,7291745045,68.0,71.4,68.0,70.8,4.5,40245
2020-03-23,66805202,4526103196,67.5,68.4,67.0,67.5,-3.3,27995
2020-03-24,41628933,2912829700,70.6,70.7,69.1,69.4,1.9,19834
2020-03-25,53652986,3851366575,71.2,72.6,71.1,71.4,2.0,26059
2020-03-26,38695860,2744977279,71.5,71.7,70.5,71.0,-0.4,15719
2020-03-27,59785740,4243023340,71.4,72.2,70.0,70.1,-0.9,23636
2020-03-30,33595577,2344257604,69.5,70.3,69.0,70.0,-0.1,13149
2020-03-31,38298560,2683048464,70.1,70.5,69.9,69.9,-0.1,14066
2020-04-01,25810865,1810237557,70.5,70.5,70.0,70.0,0.1,10193
2020-04-06,48957455,3422092605,70.0,70.3,69.4,70.2,0.2,16309
2020-04-07,46626787,3321176546,71.4,71.9,70.8,71.2,1.0,19700
2020-04-08,90172291,6665687725,71.5,75.3,71.4,75.0,3.8,45059
2020-04-09,55267837,4121063355,75.5,75.9,73.7,74.0,-1.0,27239
2020-04-10,19079314,1406163797,73.5,73.9,73.4,73.9,-0.1,9662
2020-04-13,25076651,1840201557,73.8,73.9,73.1,73.1,-0.8,12994
2020-04-14,36772932,2724034232,73.5,74.5,73.2,74.4,1.3,13991
2020-04-15,42208905,3140527398,74.5,75.2,74.1,74.1,-0.3,19762
2020-04-16,46873293,3488949075,74.0,75.0,73.8,74.0,-0.1,16737
2020-04-17,71076153,5396376021,75.5,76.5,75.3,75.8,1.8,29356
2020-04-20,34062921,2589741185,76.1,76.6,75.4,76.2,0.4,13541
2020-04-21,50476839,3748124545,75.2,75.5,73.5,73.5,-2.7,26194
2020-04-22,27664535,2028813790,72.6,73.9,72.5,73.9,0.4,11631
2020-04-23,26918129,1999116982,74.2,75.2,73.6,74.0,0.1,10752
2020-04-24,18097847,1338133578,74.0,74.2,73.7,73.8,-0.2,8073
2020-04-27,28422746,2127044766,74.2,75.2,74.2,74.9,1.1,12354
2020-04-28,22472772,1686693617,75.1,75.4,74.8,75.2,0.3,9829
2020-04-29,32618555,2472509066,75.2,76.2,75.1,75.6,0.4,15525
2020-04-30,50247112,3846340874,76.2,77.0,76.0,77.0,1.4,21023
2020-05-04,50274654,3743144292,74.0,75.0,73.9,74.5,-2.5,24021
2020-05-05,30499283,2267358676,74.7,75.0,74.0,74.1,-0.4,14431
2020-05-06,26782236,1994740599,74.1,75.2,74.1,74.3,0.2,12458
2020-05-07,31856315,2394950417,74.5,75.8,74.5,75.2,0.9,13922
2020-05-08,38394983,2932358445,76.8,76.8,75.9,76.2,1.0,17416
2020-05-11,59444957,4658299492,76.9,79.2,76.9,78.9,2.7,28011
2020-05-12,45434634,3527174435,78.3,78.4,77.0,77.3,-1.6,21458
2020-05-13,43132241,3378556440,77.7,78.8,77.7,78.8,1.5,21005
2020-05-14,42128911,3298686731,78.0,78.9,78.0,78.2,-0.6,19774
2020-05-15,47550082,3678862332,78.2,78.6,76.4,77.1,-1.1,22470
2020-05-18,57978171,4380323435,76.6,76.6,74.9,75.0,-2.1,26917
2020-05-19,49410505,3711927230,75.4,76.0,74.6,74.8,-0.2,21590
2020-05-20,30828720,2304984331,74.9,75.3,74.5,74.5,-0.3,13870
2020-05-21,24213322,1809690550,74.5,75.0,74.3,74.7,0.2,11673
2020-05-22,46433168,3429622432,74.2,74.4,73.5,73.6,-1.1,24358
2020-05-25,26982259,1975050566,73.5,73.6,72.6,73.6,0.0,13590
2020-05-26,28310825,2118555875,73.7,75.3,73.6,74.8,1.2,12743
2020-05-27,22380029,1681599201,74.8,75.5,74.8,75.3,0.5,9717
2020-05-28,26184820,1974966847,75.7,75.9,74.8,75.3,0.0,11142
2020-05-29,44896709,3390842168,74.3,75.8,74.3,75.8,0.5,8845
2020-06-01,25890941,1978249140,76.0,76.8,75.9,76.2,0.4,11983
2020-06-02,46411048,3578984344,76.5,77.5,76.4,77.1,0.9,17377
2020-06-03,42871656,3345926880,78.0,78.4,77.6,78.1,1.0,20113
2020-06-04,43657351,3416129837,78.5,78.7,77.6,78.4,0.3,16411
2020-06-05,33935695,2653168238,78.1,78.5,77.8,78.5,0.1,14514
2020-06-08,53575560,4252869778,79.1,79.8,78.8,79.7,1.2,25563
2020-06-09,38143498,3037880359,79.3,80.2,78.9,79.5,-0.2,17925
2020-06-10,25863059,2061805675,79.6,79.9,79.1,79.9,0.4,11783
2020-06-11,42535010,3373446609,79.9,80.3,78.1,78.6,-1.3,19143
2020-06-12,30382486,2353848108,77.3,78.0,76.6,78.0,-0.6,14859
2020-06-15,26332046,2038172490,77.7,77.9,77.0,77.0,-1.0,12905
2020-06-16,22339775,1747515973,77.8,78.5,77.7,78.4,1.4,9686
2020-06-17,18039312,1413407434,78.9,79.0,77.9,78.2,-0.2,8443
2020-06-18,18089756,1416482565,78.4,78.7,77.7,78.5,0.3,7536
2020-06-19,35887232,2822258010,78.6,78.9,78.1,78.8,0.3,7669
2020-06-22,16769227,1318411513,78.7,78.9,78.2,78.9,0.1,7610
2020-06-23,45708143,3655911340,79.6,80.7,79.3,80.2,1.3,20574
2020-06-24,88391479,7322897783,81.1,83.5,81.0,83.5,3.3,41893
2020-06-29,98493392,8314264132,83.6,85.8,83.4,85.2,1.7,39748
2020-06-30,57741437,4972422082,86.0,86.4,85.7,86.3,1.1,23058
2020-07-01,44576514,3854998428,86.5,87.6,85.5,85.9,-0.4,22175
2020-07-02,34490431,2950800438,85.8,86.0,84.6,86.0,0.1,16916
2020-07-03,44883049,3832093245,86.1,86.2,85.1,85.3,-0.7,21640
2020-07-06,44370881,3833581654,85.7,86.6,85.6,86.4,1.1,17935
2020-07-07,52853744,4572499757,87.1,87.5,85.6,87.0,0.6,21050
2020-07-08,40532208,3524880599,87.0,87.3,86.6,87.0,0.0,15078
2020-07-09,51421490,4442391525,87.3,87.4,85.8,86.2,-0.8,20494
2020-07-10,55453243,4737240248,86.2,86.2,84.8,84.8,-1.4,22536
2020-07-13,36625700,3154223682,85.4,86.7,85.4,86.7,1.9,14492
2020-07-14,34934410,3029522815,86.8,87.5,86.3,86.3,-0.4,13706
2020-07-15,47807002,4148430451,86.6,87.2,86.5,86.6,0.3,22664
2020-07-16,50530654,4420166927,87.0,88.0,86.9,87.6,1.0,20067
2020-07-17,48813379,4307330703,88.3,88.6,87.6,88.0,0.4,21341
2020-07-20,74478567,6424395139,88.0,88.0,85.0,86.8,-1.2,29010
2020-07-21,74962395,6405280586,86.0,86.1,85.1,85.3,-1.5,34475
2020-07-22,73724655,6309707947,85.3,86.0,85.1,85.9,0.6,28177
2020-07-23,79361972,6498304084,81.3,82.5,81.1,82.1,0.0,31355
2020-07-24,50435732,4076404565,81.5,81.9,80.0,80.0,-2.1,23339
2020-07-27,68636332,5391711702,79.6,79.9,78.0,78.0,-2.0,29796
2020-07-28,89739664,7145636184,77.8,82.7,77.3,78.4,0.4,36892
2020-07-29,39362154,3086153861,78.6,79.8,78.0,78.0,-0.4,20547
2020-07-30,40501045,3157449637,78.7,78.8,77.5,78.0,0.0,17186
2020-07-31,47089202,3713121252,78.5,79.4,78.4,78.4,0.4,17849
2020-08-03,61172243,4755970977,78.4,78.9,77.1,77.1,-1.3,28055
2020-08-04,23090382,1797852065,77.7,78.2,77.5,78.1,1.0,10819
2020-08-05,27876127,2178907032,78.3,78.5,77.9,77.9,-0.2,14160
2020-08-06,33250505,2629079995,79.3,79.7,78.5,79.0,1.1,16746
2020-08-07,21862438,1721842306,79.6,79.6,78.3,78.3,-0.7,11805
2020-08-10,49798520,3990124915,79.2,80.9,79.1,80.5,2.2,23279
2020-08-11,30816578,2468946640,81.0,81.1,79.6,79.8,-0.7,13848
2020-08-12,45677601,3690920427,80.9,81.5,79.9,81.4,1.6,20916
2020-08-13,91723728,7358971725,82.0,82.3,79.2,79.5,-1.9,36555
2020-08-14,35459498,2840778377,79.8,80.7,79.6,80.4,0.9,13587
2020-08-17,23622631,1896828119,80.7,80.7,80.0,80.2,-0.2,11055
2020-08-18,33226399,2650389582,80.5,80.5,79.3,79.8,-0.4,11086
2020-08-19,34690778,2772846440,80.9,80.9,79.3,79.3,-0.5,13857
2020-08-20,62249250,4824965577,79.6,79.9,75.6,77.1,-2.2,28426
2020-08-21,24487793,1910674209,78.2,78.4,77.5,78.2,1.1,11775
2020-08-24,21801923,1698792494,78.2,78.4,77.6,77.6,-0.6,8976
2020-08-25,17655262,1381004042,78.1,78.5,77.8,78.3,0.7,7599
2020-08-26,16286412,1272133537,78.3,78.4,77.9,78.2,-0.1,7049
2020-08-27,24154047,1879109966,78.2,78.7,77.5,77.5,-0.7,11696
2020-08-28,25486462,1976344876,77.4,78.2,77.1,77.5,0.0,11424
2020-08-31,30590373,2364666097,77.8,78.0,76.9,76.9,-0.6,9800
2020-09-01,22918104,1761448751,76.9,77.3,76.4,77.0,0.1,9429
2020-09-02,24934189,1926749142,77.2,77.8,77.0,77.8,0.8,10679
2020-09-03,41884369,3282356882,78.8,79.3,77.6,77.7,-0.1,19460
2020-09-04,36806710,2831784400,77.0,77.3,76.6,76.9,-0.8,15981
2020-09-07,21248188,1638392849,76.8,77.5,76.8,77.3,0.4,10350
2020-09-08,26249612,2037963124,77.7,78.1,77.3,77.5,0.2,9471
2020-09-09,22505471,1737061038,77.3,77.9,76.6,77.9,0.4,10226
2020-09-10,29117204,2283088513,78.0,78.7,78.0,78.5,0.6,12763
2020-09-11,16132726,1263705910,78.5,78.5,78.0,78.5,0.0,7897
2020-09-14,27029525,2139654572,78.8,79.5,78.6,79.4,0.9,13151
2020-09-15,16938546,1340750906,79.4,79.4,78.9,79.1,-0.3,7801
2020-09-16,18122360,1429007221,79.4,79.4,78.6,78.8,-0.3,8344
2020-09-17,20784040,1628079884,78.6,79.1,78.0,78.1,-0.7,10005
2020-09-18,32663875,2538932050,77.9,78.2,77.5,77.6,-0.5,9826
2020-09-21,19006472,1475770876,77.6,78.3,77.3,77.4,-0.2,9495
2020-09-22,25601394,1969959728,77.3,77.3,76.5,76.8,-0.6,10596
2020-09-23,18141854,1392920098,77.0,77.2,76.6,76.7,-0.1,8408
2020-09-24,57338020,4323761301,76.1,76.4,75.0,75.0,-1.7,27989
2020-09-25,38124876,2845940140,75.4,75.7,74.1,74.3,-0.7,17695
2020-09-28,32250992,2463972584,74.9,76.9,74.8,76.9,2.6,14071
2020-09-29,36475973,2829789508,77.3,78.4,77.0,77.0,0.1,14074
2020-09-30,19229698,1492921059,78.0,78.0,77.3,77.4,0.4,8011
2020-10-05,19075464,1486550675,78.2,78.5,77.5,77.7,0.3,8036
2020-10-06,16976308,1322915817,78.1,78.2,77.6,77.8,0.1,7560
2020-10-07,17236406,1334976005,77.4,77.8,77.1,77.4,-0.4,6752
2020-10-08,14942266,1162407848,77.8,78.0,77.5,78.0,0.6,7978
2020-10-12,38085427,2991588689,78.4,78.8,78.1,78.7,0.7,14391
2020-10-13,22946661,1803540423,79.0,79.1,78.1,78.9,0.2,10059
2020-10-14,42431974,3319711242,78.1,78.8,78.0,78.0,-0.9,11427
2020-10-15,26260704,2052076611,77.7,78.5,77.6,78.1,0.1,9280
2020-10-16,48409062,3826593625,78.4,79.9,78.2,78.6,0.5,21575
2020-10-19,85721985,6933767387,80.0,81.5,79.7,81.3,2.7,41492
2020-10-20,45688857,3719173202,81.5,82.0,80.8,81.4,0.1,23005
2020-10-21,32456107,2621588828,81.5,81.5,80.3,80.4,-1.0,14481
2020-10-22,24773904,1997772128,80.8,80.8,80.3,80.8,0.4,9087
2020-10-23,18968821,1533150361,81.2,81.4,80.5,80.7,-0.1,7944
2020-10-26,14376600,1155662321,81.1,81.1,80.0,80.2,-0.5,7849
2020-10-27,21240221,1694981771,79.9,80.0,79.4,80.0,-0.2,9012
2020-10-28,33914127,2673591837,79.4,79.7,78.2,78.3,-1.7,16485
2020-10-29,30618945,2376702905,77.6,78.2,76.8,78.0,-0.3,15101
2020-10-30,26399018,2048506123,77.6,78.2,77.1,77.5,-0.5,9463
2020-11-02,17820319,1388494460,77.5,78.3,77.4,78.3,0.8,8075
2020-11-03,14624015,1146787065,78.5,78.8,78.1,78.3,0.0,7545
2020-11-04,18927508,1490884001,78.4,79.4,78.0,78.8,0.5,7641
2020-11-05,14675062,1157728567,79.0,79.3,78.5,79.0,0.2,6177
2020-11-06,21927838,1745003872,79.6,79.9,79.3,79.7,0.7,9256
2020-11-09,42301888,3424501240,80.7,81.5,80.5,81.2,1.5,19937
2020-11-10,21869925,1766382105,81.1,81.2,80.3,80.8,-0.4,10248
2020-11-11,36850179,2992317172,80.8,81.7,80.4,81.6,0.8,17181
2020-11-12,44996299,3672675394,81.7,82.0,80.8,81.9,0.3,19911
2020-11-13,32250189,2628738658,81.9,82.0,80.9,81.4,-0.5,14397
2020-11-16,50715538,4182976762,82.0,82.9,81.9,82.6,1.2,22122
2020-11-17,45390693,3760327206,83.1,83.3,82.3,83.0,0.4,17332
2020-11-18,30992749,2576431712,82.9,83.4,82.7,83.2,0.2,14929
2020-11-19,23992520,1985723356,82.7,83.2,82.5,82.9,-0.3,11054
2020-11-20,24856126,2050460680,83.3,83.3,82.1,82.5,-0.4,11943
2020-11-23,24645027,2041909040,82.9,83.2,82.5,82.9,0.4,10383
2020-11-24,22997794,1893349073,83.1,83.1,82.0,82.0,-0.9,11782
2020-11-25,23351912,1915145608,82.4,82.5,81.5,82.0,0.0,10804
2020-11-26,35654143,2955779864,82.6,83.2,82.5,83.0,1.0,15087
2020-11-27,21516682,1778145042,83.0,83.0,82.5,82.6,-0.4,10239
2020-11-30,66105032,5444498467,82.7,83.0,82.0,82.3,-0.3,11699
2020-12-01,24824339,2050440234,82.5,82.9,82.2,82.9,0.6,9164
2020-12-02,38583640,3190762355,83.0,83.3,82.4,82.7,-0.2,15581
2020-12-03,30688528,2519994773,82.3,82.4,81.9,82.0,-0.7,14542
2020-12-04,48068126,3987392806,83.0,83.4,82.6,82.9,0.9,20329
2020-12-07,163867512,14119652736,83.3,88.1,83.1,87.9,5.0,80798
2020-12-08,118755890,10495182078,88.4,89.7,87.3,87.6,-0.3,56530
2020-12-09,67952932,6033649403,88.5,89.3,88.2,89.0,1.4,31573
2020-12-10,54580931,4795519790,88.4,88.7,87.1,87.7,-1.3,27323
2020-12-11,61349293,5351066332,88.5,88.5,85.8,87.6,-0.1,29628
2020-12-14,47987980,4241965989,88.3,89.0,87.7,87.7,0.1,21135
2020-12-15,38956460,3390831919,88.3,88.3,86.5,87.1,-0.6,18357
2020-12-16,47026342,4130677034,88.0,88.2,87.4,88.2,1.1,21515
2020-12-17,28097957,2470825265,88.3,88.4,87.6,87.8,-0.4,12277
2020-12-18,27787804,2439199919,88.1,88.2,87.5,87.7,-0.1,11920
2020-12-21,28905010,2538797919,88.1,88.5,86.9,88.0,0.3,14714
2020-12-22,94049036,8374170934,88.0,90.5,87.5,87.7,-0.3,44931
2020-12-23,56278242,5000495202,88.5,89.4,88.3,88.8,1.1,25699
2020-12-24,41263965,3691307949,89.5,89.9,89.0,89.6,0.8,18937
2020-12-25,114607503,10497953149,90.9,92.2,90.8,91.8,2.2,61188
2020-12-28,67626965,6240713115,92.4,93.0,91.8,91.8,0.0,34315
2020-12-29,46148101,4192521279,91.8,91.8,90.4,90.4,-1.4,26781
2020-12-30,40526518,3687922978,91.0,91.6,90.1,91.6,1.2,20750
2020-12-31,32420293,2974403637,91.5,92.0,91.1,92.0,0.4,16438
